Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.5,"2,404",5K+ bought in past month,79999,₹149999,(47% off),Yes
"Redmi Note 13 Pro (Coral Purple, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,380",1K+ bought in past month,22999,₹28999,(21% off),Yes
"HighEnd Nillkin Case for Apple iPhone 14 Pro Max (6.7"" Inch) Textured S Camshield Semi Automatic Camera Slider Nylon Fiber Tough & Durable PC + TPU Material Luxury Protect Black",N/A,N/A,M.R.P:,2730,₹5999,(54% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Plus (6.7"" Inch) CamShield Armor Pro Camera Slider Military 180° Rotate Ring Stand Wireless Charging TPU + PC Kickstand Black",N/A,N/A,M.R.P:,2730,₹4999,(45% off),No
"HighEnd Nillkin Case for Apple iPhone 14 / iPhone 13 (6.1"" Inch) Super Frosted Shield Pro Hard Back Soft Border (PC + TPU) Shock Absorb Cover Raised Bezel Camera Protect PC with Logo Cut Blue",N/A,N/A,M.R.P:,1105,₹2999,(63% off),No
"HighEnd Nillkin Case for Apple iPhone 13 Mini (5.4"" Inch) Super Frosted Shield Pro Hard Back Soft Border (PC + TPU) Shock Absorb Cover Raised Bezel Camera Protect PC Without Logo Cut (Green)",N/A,N/A,M.R.P:,995,₹2399,(59% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro Max (6.7"" Inch) Adventurer Pro Camshield Camera Slider Military Rugged Grade Finish TPU + PC Tough - Red",N/A,N/A,M.R.P:,2745,₹4999,(45% off),No
"HighEnd Nillkin for iPhone 14 Case Case with Slide Camera Cover, [Full Around Protection], [Anti-Fingerprint], [Carbon Fiber Texture Anti-Scratch], Slim Shockproof Protective Case 6.1"" (Black)",N/A,N/A,M.R.P:,1245,₹2999,(58% off),No
"HighEnd Nillkin Case for Apple iPhone 14 / iPhone 13 (6.1"" Inch) Nature TPU Pro Border + PC Back & Impact Resist Edges Soft Flexible Blue Color",N/A,N/A,M.R.P:,1346,₹1999,(33% off),No
"HighEnd Nillkin Polycarbonate For Iphone 14 Plus Case With Slide Camera Cover, [Full Protection], [Anti-Fingerprint], [Carbon Fiber Texture Anti-Scratch], Slim Shockproof Protective Case 6.7"" (Purple)",N/A,N/A,M.R.P:,1145,₹1999,(43% off),No
"HighEnd Nillkin for iPhone 14 / iPhone 13 Case with Slide Camera Cover, [Full Around Protection], [Anti-Fingerprint], [Carbon Fiber Texture Anti-Scratch], Slim Shockproof Protective Case 6.1"" (Purple)",N/A,N/A,M.R.P:,1135,₹2999,(62% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Plus (6.7"" Inch) Synthetic Fiber S Camshield Camera Semi Automatic Magnetic Works with Magsafe Charger Aramid Carbon Tough Waterproof Black",N/A,N/A,M.R.P:,1998,₹2999,(33% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Qin Pro Camshield Camera Slider Genuine Classic Leather Flip Folio + Card Slot Red Color",N/A,N/A,M.R.P:,1645,₹2999,(45% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) CamShield Silky Soft Liquid Silicon + PC Finish Camera Slider Inner Microfiber Purple",N/A,N/A,M.R.P:,2346,₹4999,(53% off),No
"HighEnd Nillkin Case for Apple iPhone 13 Pro (6.1"" Inch) Nature TPU Pro Border + PC Back & Impact Resist Edges Soft White Color",N/A,N/A,M.R.P:,1346,₹1999,(33% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Qin Pro Camshield Camera Slider Genuine Classic Leather Flip Folio + Card Slot - Brown",N/A,N/A,M.R.P:,1645,₹3999,(59% off),No
"HighEnd Nillkin Case for Apple iPhone 14 / iPhone 13 (6.1"" Inch) Qin Pro Camshield Camera Slider Genuine Classic Leather Flip Folio + Card Slot Black Color",N/A,N/A,M.R.P:,2289,₹3999,(43% off),No
"HighEnd Nillkin Case for Apple iPhone 14 Pro (6.1"" Inch) Adventurer Pro Camshield Camera Slider Military Rugged Grade Finish TPU + PC Tough - Blue",N/A,N/A,M.R.P:,1799,₹3999,(55% off),No
