Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
A rtistque Armor Bumper Back Case Cover for Realme 13 Plus 5G | Smooth Sides with Grip | Shockproof TPU Protective Design | Raised Camera Edges | Realme 13 Plus 5G - Brown,N/A,N/A,M.R.P:,399,₹999,(60% off),Yes
"realme TechLife Studio H1 Over The Ear Headphone with 70Hours Playtime 360° Spatial Audio, 40mm Drivers, 80ms Superlow Latency, 43 dB Adaptive ANC-Red",4.5,7,M.R.P:,4999,₹7999,(38% off),Yes
"realme NARZO 70x 5G (Ice Blue, 6GB RAM,128GB Storage)|120Hz Ultra Smooth Display|Dimensity 6100+ 6nm 5G|50MP AI Camera|45W Charger in The Box",4.0,"1,352",5K+ bought in past month,12998,₹17999,(28% off),Yes
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",4.0,263,5K+ bought in past month,7498,₹8999,(17% off),Yes
"realme NARZO 70 Turbo 5G (Turbo Yellow,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",4.2,400,3K+ bought in past month,16998,₹19999,(15% off),Yes
"realme NARZO N61 (Marble Black, 4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",4.2,139,4K+ bought in past month,7499,₹8999,(17% off),Yes
"realme NARZO N65 5G (Amber Gold 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",4.2,571,5K+ bought in past month,12498,₹14999,(17% off),Yes
"realme 12X 5G (Woodland Green, 8GB RAM, 128GB Storage)",4.1,98,2K+ bought in past month,12824,₹18999,(33% off),Yes
"realme 13 Pro 5G (Monet Gold,8GB+256GB)",3.6,32,200+ bought in past month,23515,₹30999,(24% off),Yes
"realme NARZO N65 5G (Deep Green 6GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",4.0,438,5K+ bought in past month,12498,₹14999,(17% off),Yes
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,455,4K+ bought in past month,12934,₹17999,(28% off),Yes
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.8,"1,514",1K+ bought in past month,15999,₹20999,(24% off),Yes
"realme NARZO 70 Turbo 5G (Turbo Green,6GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",4.0,56,500+ bought in past month,16998,₹19999,(15% off),Yes
"realme 12+ 5G (Navigator Beige, 8GB RAM, 256GB Storage)",3.7,123,500+ bought in past month,17299,₹25999,(33% off),Yes
"realme NARZO 70 Pro 5G (Glass Gold, 8GB RAM,128GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera",4.2,567,5K+ bought in past month,15498,₹24999,(38% off),Yes
"realme GT 6T 5G (Razor Green,12GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.3,182,1K+ bought in past month,35998,₹37999,(5% off),Yes
"realme NARZO 70 Turbo 5G (Turbo Purple,8GB RAM,128GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",4.2,202,1K+ bought in past month,17998,₹20999,(14% off),Yes
"realme NARZO 70 Pro 5G (Glass Green, 8GB RAM,128GB Storage) Dimensity 7050 5G Chipset | Horizon Glass Design | Segment 1st Flagship Sony IMX890 OIS Camera",4.2,"1,591",5K+ bought in past month,N/A,N/A,N/A,No
"realme P1 5G (Phonix Red, 8GB RAM, 128GB Storage)",4.0,520,500+ bought in past month,16649,₹21999,(24% off),Yes
"realme NARZO N65 5G (Deep Green 8GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim 190g Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",4.1,68,3K+ bought in past month,13498,₹15999,(16% off),Yes
"Probuds N31 BT in-Ear Neckband (Panther Black, 45+ hrs Playtime, ENC, Fast Charge (10min = 12hrs), IPX6 Rating, 10 mm Drivers, BT V5.3 Pro Game Mode (60ms Low Latency), and Dual Device Pairing)",4.2,995,300+ bought in past month,999,₹2499,(60% off),Yes
"Boult Audio UFO Truly Wireless in Ear Earbuds with 48H Playtime, Built-in App Support, 45ms Low Latency Gaming, 4 Mics ENC, Breathing LEDs, 13mm Bass Drivers Ear Buds TWS, Made in India (White Opal)",4.0,531,3K+ bought in past month,1499,₹3499,(57% off),Yes
