Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 512GB Storage)",4.5,"2,419",M.R.P:,134999,₹161999,(17% off),No
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 128GB Storage)",4.0,403,100+ bought in past month,62999,₹74999,(16% off),No
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 256GB Storage)",4.4,6,100+ bought in past month,57849,₹65999,(12% off),No
"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)",4.2,"36,520",50+ bought in past month,25999,₹74999,(65% off),No
"Lava Yuva 3 (Cosmic Lavender, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free",4.0,265,2K+ bought in past month,6699,₹7999,(16% off),No
"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 128GB Storage) Without Offer",4.2,"2,678",50+ bought in past month,22780,₹35499,(36% off),No
"Samsung Galaxy S21 FE 5G (Lavender, 8GB RAM, 256GB Storage) with Snapdragon 888 Processor",3.9,"1,730",M.R.P:,31999,₹74999,(57% off),No
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,327,100+ bought in past month,42999,₹45999,(7% off),No
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)",4.2,412,50+ bought in past month,77210,₹149999,(49% off),No
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,327,200+ bought in past month,39999,₹42999,(7% off),No
"Lava Yuva 3 (Eclipse Black, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free",4.0,265,1K+ bought in past month,6699,₹7999,(16% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,684",1K+ bought in past month,15999,₹20999,(24% off),No
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 256GB Storage)_Without Offer",4.2,279,300+ bought in past month,98410,₹134999,(27% off),No
"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 128GB Storage) Without Offer",4.2,"2,678",M.R.P:,23490,₹35499,(34% off),No
"samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) Without Offer",3.2,13,200+ bought in past month,26590,₹36999,(28% off),No
"Samsung Galaxy A15 5G (Blue, 8GB, 128GB Storage) | 50 MP Main Camera | Android 14 with One UI 6.0 | 16GB Expandable RAM | MediaTek Dimensity 6100+ | 5000 mAh Battery",3.9,882,300+ bought in past month,16999,₹21499,(21% off),No
Samsung Galaxy Ring Sizing Kit (Size First Before You Buy Galaxy Ring |Includes 9 Sample Ring Sizes),5.0,1,50+ bought in past month,499,₹999,(50% off),No
"Samsung Galaxy A34 5G (Awesome Silver, 8GB, 128GB Storage) Without Offer",4.2,"2,678",M.R.P:,24999,₹35499,(30% off),No
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,4GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,13499,₹15999,(16% off),No
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Gray, 12GB, 512GB Storage)",4.4,196,100+ bought in past month,139999,₹144999,(3% off),No
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,16499,₹17999,(8% off),No
