Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Tecno POVA 6 NEO 5G (Aurora Cloud, 8GB+256GB) | Advanced AI Features | 108MP Ultra Clear AI Camera | D6300 Powerful Processor | 5 Year Lag Free Fluency | 5000 mAh Battery | in Built Infrared and NFC",3.9,230,1K+ bought in past month,13999,₹16999,(18% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999,₹20999,(24% off),No
VIDO Transparent Back Case Cover for Xiaomi 11 Lite NE 5G (Soft & Flexible & Camera Protection Back Case),4.1,111,100+ bought in past month,149,₹999,(85% off),No
"Redmi Note 10T 5G (Graphite Black, 6GB RAM, 128GB Storage) | Dual5G | 90Hz Adaptive Refresh Rate | MediaTek Dimensity 700 7nm Processor | 22.5W Charger Included",4.1,"101,748",M.R.P:,13479,₹18999,(29% off),No
Xiaomi Redmi Pad Pro Keyboard,4.2,24,200+ bought in past month,4160,₹5999,(31% off),No
"Xiaomi Mens Men's Advanced Tech Running, Walking & Gym Shoes Running Shoe",3.7,233,M.R.P:,3208,₹5999,(47% off),No
"(Renewed) MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360° View | 2MP | AI Powered Motion Detection | Enhanced Night Vision| Talk Back Feature (2 Way Calling), White",4.0,138,50+ bought in past month,1699,₹4499,(62% off),No
"Xiaomi Redmi Smart Watch 3 Active Gray| 1.83 Inch Big Lcd Display, 5Atm Water Resistant, 12 Days Battery Life, Gps, 100+ Workout Mode, Heart Rate Monitor, Full Scale Fitness Tracking.",4.5,"3,182",N/A,5990,N/A,N/A,No
"Mi Xiaomi 2A Fast Charger USB-A Power Adapter - Phone Wall Charger Compatible with Android, Samsung Galaxy, Xiaomi Redmi, Headphones, Bluetooth Devices - 10W Mobile Charging Block - Black",4.2,"24,568",1K+ bought in past month,499,₹599,(17% off),No
"Mi Xiaomi 120W Hyper Charge Adapter with 6A Hyper Charge Cable - Fast Charging for Mobile & Laptop, MacBook | Universal Compatibility | Efficient Power Delivery (White)",5.0,2,(₹10.67₹10.67/Grams),2999,₹10.67,(63% off),No
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,618",5K+ bought in past month,18999,₹24499,(22% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,470",5K+ bought in past month,79999,₹149999,(47% off),No
Xiaomi Pad 6 Cover - Blue,4.6,119,M.R.P:,1559,₹2999,(48% off),No
Jkobi Back Case Cover for Xiaomi MI 14 (Silicone Clear Shockproof Case | Camera Protection | Soft and Flexible),N/A,N/A,M.R.P:,150,₹799,(81% off),No
YOFO Back Cover for Xiaomi 11i (5G) (SlimFlexible|Silicone|Transparent|Camera Protection|DustPlug),4.4,14,100+ bought in past month,123,₹699,(82% off),No
Sounce Adjustable Xiaomi Mi Band 5 Smartwatch Soft Silicone Strap Band Bracelet (Not Compatible with Mi Band 3 / Mi Band 4),3.7,623,700+ bought in past month,99,₹299,(67% off),No
Xiaomi 14 Official Liquid Silicone Protective Case (Green),3.8,8,M.R.P:,1999,₹2499,(20% off),No
Sounce Adjustable Xiaomi Mi Band 5 & Mi Band 6 Watch Strap Silicone Adjustable Men Women- Set of 5,4.0,"5,168",300+ bought in past month,249,₹999,(75% off),No
Original Compatible for Xiaomi Tv Remote Redmi tv Remote Control Original for Xiaomi Smart Android 4K Led UHD HD Xiaomi Mi Television with Bluetooth Feature and Voice Command (Gvirtue),1.0,1,50+ bought in past month,559,₹1799,(69% off),No
"67W Ultra Fast Type-C Charger for Xiaomi Mi 11 Pro/Xiaomi Mi11 Pro Charger Original Adapter Like Mobile Charger Fast QC 3.0 Quick Charger with 1 Meter Type C USB Data Cable (67W,MP-72,WT)",N/A,N/A,50+ bought in past month,390,₹999,(61% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,731,5K+ bought in past month,7999,₹9999,(20% off),No
