Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Vivo V40e 5G AI Smartphone (Royal Bronze, 8GB RAM + 256GB Storage)",4.6,11,500+ bought in past month,28275.0,₹35999,(21% off),No,Vivo,Vivo V40e 5G AI Smartphone ,Black,8GB,256GB,500,35999,21.0
"vivo Y58 5G (Himalayan Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,52,500+ bought in past month,18499.0,₹23999,(23% off),No,Unknown,,Blue,8GB,128GB,500,23999,23.0
"Vivo V30e 5G Smartphone (Silk Blue, 8GB RAM, 128GB Storage)",4.3,39,200+ bought in past month,23000.0,₹32999,(30% off),No,Vivo,Vivo V30e 5G Smartphone ,Blue,8GB,128GB,200,32999,30.0
"vivo Y28s 5G (Vintage Red, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,500+ bought in past month,14999.0,₹19999,(25% off),No,Unknown,,Red,6GB,128GB,500,19999,25.0
"Vivo V30e 5G Smartphone (Velvet Red, 8GB RAM, 128GB Storage)",4.3,41,200+ bought in past month,23000.0,₹32999,(30% off),No,Vivo,Vivo V30e 5G Smartphone ,Red,8GB,128GB,200,32999,30.0
"Vivo V30e 5G Smartphone (Velvet Red, 8GB RAM, 256GB Storage)",4.3,39,300+ bought in past month,25388.0,₹34999,(27% off),No,Vivo,Vivo V30e 5G Smartphone ,Red,8GB,256GB,300,34999,27.0
"vivo Y18 (Space Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.4,14,100+ bought in past month,8499.0,₹12999,(35% off),No,Unknown,,Black,4GB,64GB,100,12999,35.0
"vivo Y58 5G (Sundarbans Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,52,400+ bought in past month,18499.0,₹23999,(23% off),No,Unknown,,Green,8GB,128GB,400,23999,23.0
"Vivo Y200e 5G (Saffron Delight, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1,311,100+ bought in past month,20999.0,₹25999,(19% off),No,Vivo,Vivo Y200e 5G ,Black,8GB,128GB,100,25999,19.0
"Vivo V40e 5G AI Smartphone (Mint Green, 8GB RAM + 128GB Storage)",2.2,4,200+ bought in past month,26475.0,₹33999,(22% off),Yes,Vivo,Vivo V40e 5G AI Smartphone ,Green,8GB,128GB,200,33999,22.0
"vivo Y18i (Gem Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers |Without Charger",3.7,43,500+ bought in past month,7999.0,₹11999,(33% off),Yes,Unknown,,Green,4GB,64GB,500,11999,33.0
"Vivo V40 5G Smartphone (Lotus Purple, 8GB RAM, 256GB Storage)",3.9,30,400+ bought in past month,34849.0,₹42999,(19% off),Yes,Vivo,Vivo V40 5G Smartphone ,Black,8GB,256GB,400,42999,19.0
"vivo Y18i (Space Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers |Without Charger",3.7,43,500+ bought in past month,7999.0,₹11999,(33% off),Yes,Unknown,,Black,4GB,64GB,500,11999,33.0
"Vivo V40 5G Smartphone (Titanium Grey, 8GB RAM, 128GB Storage)",3.9,11,100+ bought in past month,32130.0,₹39999,(20% off),Yes,Vivo,Vivo V40 5G Smartphone ,Black,8GB,128GB,100,39999,20.0
"vivo Y28s 5G (Vintage Red, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,300+ bought in past month,13499.0,₹17999,(25% off),Yes,Unknown,,Red,4GB,128GB,300,17999,25.0
"Vivo Y300 Plus 5G (Silk Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",2.7,7,50+ bought in past month,23999.0,₹29999,(20% off),Yes,Vivo,Vivo Y300 Plus 5G ,Green,8GB,128GB,50,29999,20.0
"Vivo V30 5G (Peacock Green, 8GB RAM, 128GB Storage) without Offers",4.3,16,50+ bought in past month,25989.0,₹38999,(33% off),Yes,Vivo,Vivo V30 5G ,Green,8GB,128GB,50,38999,33.0
"Vivo V40 5G Smartphone (Ganges Blue, 8GB RAM, 128GB Storage)",3.7,20,200+ bought in past month,31880.0,₹39999,(20% off),Yes,Vivo,Vivo V40 5G Smartphone ,Blue,8GB,128GB,200,39999,20.0
"vivo V30 5G (Andaman Blue, 8GB RAM, 128GB Storage) with Out Offers",4.0,13,100+ bought in past month,26141.0,₹38999,(33% off),Yes,Unknown,,Blue,8GB,128GB,100,38999,33.0
"vivo Y28s 5G (Twinkling Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,300+ bought in past month,14999.0,₹19999,(25% off),Yes,Unknown,,Black,6GB,128GB,300,19999,25.0
"Vivo Y200e 5G (Black Diamond, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1,311,100+ bought in past month,20999.0,₹25999,(19% off),Yes,Vivo,Vivo Y200e 5G ,Black,8GB,128GB,100,25999,19.0
"Vivo V30e 5G Smartphone (Silk Blue, 8GB RAM, 256GB Storage)",4.4,7,200+ bought in past month,24779.0,₹34999,(29% off),No,Vivo,Vivo V30e 5G Smartphone ,Blue,8GB,256GB,200,34999,29.0
"vivo Y28e 5G (Breeze Green, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,100+ bought in past month,11999.0,₹15999,(25% off),No,Unknown,,Green,4GB,128GB,100,15999,25.0
"vivo Y28s 5G (Vintage Red, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,100+ bought in past month,16499.0,₹21999,(25% off),No,Unknown,,Red,8GB,128GB,100,21999,25.0
"Vivo V40 5G Smartphone (Lotus Purple, 8GB RAM, 128GB Storage)",4.1,24,300+ bought in past month,32949.0,₹39999,(18% off),No,Vivo,Vivo V40 5G Smartphone ,Black,8GB,128GB,300,39999,18.0
"vivo Y18 (Gem Green, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.8,37,50+ bought in past month,9499.0,₹13999,(32% off),No,Unknown,,Green,4GB,128GB,50,13999,32.0
"Vivo V40 Pro 5G AI Smartphone (Ganges Blue, 12GB RAM+ 512GB Storage)",4.1,28,100+ bought in past month,51520.0,₹60999,(16% off),No,Vivo,Vivo V40 Pro 5G AI Smartphone ,Blue,12GB,512GB,100,60999,16.0
"Vivo Y200 5G Mobile (Jungle Green, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",3.9,144,200+ bought in past month,22999.0,₹28999,(21% off),No,Vivo,Vivo Y200 5G Mobile ,Green,8GB,256GB,200,28999,21.0
"Vivo Y28s 5G (Vintage Red, 6GB RAM, 128GB Storage) with outOffers",3.7,74,0,13574.0,₹19999,(32% off),Yes,Vivo,Vivo Y28s 5G ,Red,6GB,128GB,0,19999,32.0
"vivo Y28e 5G (Vintage Red, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,50+ bought in past month,11999.0,₹15999,(25% off),Yes,Unknown,,Red,4GB,128GB,50,15999,25.0
"vivo X Fold3 Pro 5G (Celestial Black, 16GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers",4.9,18,0,159999.0,₹169999,(6% off),Yes,Unknown,,Black,16GB,512GB,0,169999,6.0
"Vivo V40 5G Smartphone (Ganges Blue, 8GB RAM, 256GB Storage)",4.2,16,400+ bought in past month,33943.0,₹42999,(21% off),Yes,Vivo,Vivo V40 5G Smartphone ,Blue,8GB,256GB,400,42999,21.0
"vivo Y28e 5G (Breeze Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,100+ bought in past month,10999.0,₹14999,(27% off),Yes,Unknown,,Green,4GB,64GB,100,14999,27.0
"Vivo Y200 5G (Desert Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,75,50+ bought in past month,23000.0,₹28999,(21% off),Yes,Vivo,Vivo Y200 5G ,Gold,8GB,256GB,50,28999,21.0
"vivo Y28e 5G (Vintage Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,200+ bought in past month,10999.0,₹14999,(27% off),Yes,Unknown,,Red,4GB,64GB,200,14999,27.0
"Vivo Y300 Plus 5G (Silk Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",2.7,7,0,23999.0,₹29999,(20% off),Yes,Vivo,Vivo Y300 Plus 5G ,Black,8GB,128GB,0,29999,20.0
