Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Xiaomi 14 (Jade Green, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",4.2,557,500+ bought in past month,49999.0,₹79999,(38% off),Yes,Xiaomi,Xiaomi 14 ,Green,12GB,512GB,500,79999,38.0
"Xiaomi 14 (White, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",4.2,557,500+ bought in past month,49999.0,₹79999,(38% off),Yes,Xiaomi,Xiaomi 14 ,White,12GB,512GB,500,79999,38.0
"Redmi Note 13 Pro (Scarlet Red, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",4.2,46,300+ bought in past month,19808.0,₹28999,(32% off),Yes,Redmi,Redmi Note 13 Pro ,Red,8GB,128GB,300,28999,32.0
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 8GB RAM, 256GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,947",0,23370.0,₹52999,(56% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone ,Black,8GB,256GB,0,52999,56.0
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 8GB RAM, 256GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,947",0,22950.0,₹52999,(57% off),Yes,Xiaomi,Xiaomi 11T Pro 5G Hyperphone ,White,8GB,256GB,0,52999,57.0
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",3.9,"10,021",5K+ bought in past month,9199.0,₹13999,(34% off),Yes,Redmi,Redmi 13C 5G ,Black,4GB,128GB,5000,13999,34.0
"Xiaomi 11 Lite (Vinyl Black, 8GB RAM, 128GB Storage)",3.7,232,0,12920.0,₹25999,(50% off),Yes,Xiaomi,Xiaomi 11 Lite ,Black,8GB,128GB,0,25999,50.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
"Xiaomi 14 CIVI (Shadow Black, 8GB RAM, 256GB Storage)",3.2,16,0,40999.0,₹54999,(25% off),Yes,Xiaomi,Xiaomi 14 CIVI ,Black,8GB,256GB,0,54999,25.0
"Redmi Note 13 5G (Arctic White, 12GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,18999.0,₹24999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,12GB,256GB,500,24999,24.0
"Redmi Note 13 Pro+ (Fusion Black, 12GB RAM, 512GB Storage)",3.8,863,200+ bought in past month,31999.0,₹37999,(16% off),Yes,Redmi,Redmi Note 13 Pro+ ,Black,12GB,512GB,200,37999,16.0
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999.0,₹20999,(24% off),Yes,Redmi,Redmi Note 13 5G ,White,6GB,128GB,1000,20999,24.0
