Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%)
Apple iPhone 16 (256 GB) - Ultramarine,4.4,62,50+ bought in past month,89900,,,0,Apple,iPhone 16,256GB,Ultramarine,50,89900,0.0
Apple iPhone 16 Plus (128 GB) - White,4.1,50,50+ bought in past month,86900,₹89900,(3% off),0,Apple,iPhone 16 Plus,128GB,White,50,89900,3.0
Apple iPhone 14 (128 GB) - Purple,4.5,"5,676",100+ bought in past month,54900,₹69600,(21% off),0,Apple,iPhone 14,128GB,Purple,100,69600,21.0
Apple iPhone 16 (256 GB) - White,4.4,62,50+ bought in past month,89900,,,0,Apple,iPhone 16,256GB,White,50,89900,0.0
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,4.4,372,M.R.P:,128900,₹154000,(16% off),0,Apple,iPhone 15 Pro Max,256GB,Natural Titanium,0,154000,16.0
Apple iPhone 16 (256 GB) - Pink,4.4,62,50+ bought in past month,89900,,,0,Apple,iPhone 16,256GB,Pink,50,89900,0.0
Apple iPhone 14 Plus (128 GB) - Starlight,4.5,"2,055",M.R.P:,64900,₹79600,(18% off),0,Apple,iPhone 14 Plus,128GB,Starlight,0,79600,18.0
Apple iPhone 15 Pro Max (1 TB) - Natural Titanium,4.4,372,M.R.P:,159900,₹199900,(20% off),0,,,,Red,0,199900,20.0
Apple iPhone 15 (256 GB) - Pink,4.5,"2,376",100+ bought in past month,77490,₹89600,(14% off),0,Apple,iPhone 15,256GB,Pink,100,89600,14.0
Apple iPhone 13 (256GB) - (Product) RED,4.5,"31,007",50+ bought in past month,54999,₹69900,(21% off),0,Apple,iPhone 13,256GB,,50,69900,21.0
Apple iPhone 15 Pro Max (512 GB) - Natural Titanium,4.4,372,M.R.P:,145900,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Natural Titanium,0,179900,19.0
Apple iPhone 15 Pro Max (1 TB) - Black Titanium,4.4,372,M.R.P:,159900,₹199900,(20% off),0,,,,Red,0,199900,20.0
Apple iPhone 15 Plus (256 GB) - Black,4.6,"1,061",50+ bought in past month,86990,₹99600,(13% off),0,Apple,iPhone 15 Plus,256GB,Black,50,99600,13.0
Apple iPhone 16 (512 GB) - Ultramarine,4.4,62,,109900,,,0,Apple,iPhone 16,512GB,Ultramarine,0,109900,0.0
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.4,372,M.R.P:,145900,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Blue Titanium,0,179900,19.0
Apple iPhone 14 Plus (128 GB) - Midnight,4.5,"2,055",M.R.P:,64900,₹79600,(18% off),0,Apple,iPhone 14 Plus,128GB,Midnight,0,79600,18.0
