Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"OnePlus 12 (Silky Black, 16GB RAM, 512GB Storage)",4.4,591,500+ bought in past month,66999.0,₹69999,(4% off),No,OnePlus,OnePlus 12 ,Black,16GB,512GB,500,69999,4.0
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 128GB Storage)",4.0,129,1K+ bought in past month,27999.0,₹29999,(7% off),No,OnePlus,OnePlus Nord 4 5G ,Black,8GB,128GB,1000,29999,7.0
"OnePlus 12 (Glacial White, 12GB RAM, 256GB Storage)",4.5,186,100+ bought in past month,61999.0,₹64999,(5% off),No,OnePlus,OnePlus 12 ,White,12GB,256GB,100,64999,5.0
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 256GB Storage)",3.7,100,1K+ bought in past month,20999.0,₹23999,(13% off),No,OnePlus,OnePlus Nord CE4 Lite 5G ,Black,8GB,256GB,1000,23999,13.0
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)",4.2,"8,283",200+ bought in past month,19998.0,₹21999,(9% off),No,OnePlus,OnePlus Nord CE 3 Lite 5G ,Gray,8GB,256GB,200,21999,9.0
"OnePlus 12 (Flowy Emerald, 12GB RAM, 256GB Storage)",4.4,967,400+ bought in past month,61999.0,,,No,OnePlus,OnePlus 12 ,Black,12GB,256GB,400,"2     66999.0
3     27999.0
4     61999.0
5     20999.0
6     19998.0
7     61999.0
8     32999.0
9     19990.0
16    38999.0
17    24999.0
18    39998.0
Name: Current MRP, dtype: float64",0.0
"OnePlus Nord 4 5G (Mercurial Silver, 12GB RAM, 256GB Storage)",4.1,135,500+ bought in past month,32999.0,₹35999,(8% off),No,OnePlus,OnePlus Nord 4 5G ,Silver,12GB,256GB,500,35999,8.0
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 256GB Storage)",4.2,"7,015",400+ bought in past month,19990.0,₹21999,(9% off),No,OnePlus,OnePlus Nord CE 3 Lite 5G ,Black,8GB,256GB,400,21999,9.0
"OnePlus 12R (Cool Blue, 8GB RAM, 256GB Storage)",4.2,310,1K+ bought in past month,38999.0,₹42999,(9% off),No,OnePlus,OnePlus 12R ,Blue,8GB,256GB,1000,42999,9.0
"(Refurbished) OnePlus 9RT 5G Nano Silver, 12GB RAM, 256GB Storage +Alexa hands-free capable",3.7,13,0,24999.0,₹49999,(50% off),No,OnePlus,"OnePlus 9RT 5G Nano Silver, 12GB RAM, 256GB Storage +Alexa hands-free capable",Silver,12GB,256GB,0,49999,50.0
"OnePlus 12R (Cool Blue, 8GB RAM, 128GB Storage)",4.4,610,500+ bought in past month,39998.0,,,No,OnePlus,OnePlus 12R ,Blue,8GB,128GB,500,"2     66999.0
3     27999.0
4     61999.0
5     20999.0
6     19998.0
7     61999.0
8     32999.0
9     19990.0
16    38999.0
17    24999.0
18    39998.0
Name: Current MRP, dtype: float64",0.0
