Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"OPPO A3X 4G (Nebula Red, 4GB RAM, 64GB Storage)| with No Cost EMI/Additional Exchange Offers",4.7,13,300+ bought in past month,8999.0,₹12999,(31% off),Yes,Unknown,,Red,4GB,64GB,300,12999,31.0
"Oppo F27 Pro+ 5G (Midnight Navy, 8GB RAM, 256GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",3.9,178,500+ bought in past month,29999.0,₹34999,(14% off),Yes,Oppo,Oppo F27 Pro+ 5G ,Black,8GB,256GB,500,34999,14.0
"Oppo A3 Pro 5G (Moonlight Purple, 8GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.7,73,300+ bought in past month,17999.0,₹20999,(14% off),Yes,Oppo,Oppo A3 Pro 5G ,Black,8GB,128GB,300,20999,14.0
"OPPO A3 5G (Nebula Red, 6GB RAM, 128GB Storage)",4.2,29,400+ bought in past month,15999.0,₹19999,(20% off),Yes,Unknown,,Red,6GB,128GB,400,19999,20.0
"Oppo F27 5G (Emerald Green, 8GB RAM, 128GB Storage) | 6.67"" FHD+ AMOLED Display|32MP Sony IMX615 Selfie Camera |AI Portrait Expert| 45W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",3.5,28,400+ bought in past month,20999.0,₹26999,(22% off),Yes,Oppo,Oppo F27 5G ,Green,8GB,128GB,400,26999,22.0
"Oppo F27 5G (Emerald Green, 8GB RAM, 256GB Storage) | 6.67"" FHD+ AMOLED Display|32MP Sony IMX615 Selfie Camera |AI Portrait Expert| 45W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",3.3,29,400+ bought in past month,22999.0,₹28999,(21% off),Yes,Oppo,Oppo F27 5G ,Green,8GB,256GB,400,28999,21.0
"OPPO A3 5G (Ocean Blue, 6GB RAM, 128GB Storage)",4.2,29,200+ bought in past month,15999.0,₹19999,(20% off),Yes,Unknown,,Blue,6GB,128GB,200,19999,20.0
"OPPO A3X 5G (Starry Purple, 4GB RAM, 128GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.4,77,200+ bought in past month,13499.0,₹15999,(16% off),Yes,Unknown,,Black,4GB,128GB,200,15999,16.0
"Oppo F27 Pro+ 5G (Dusk Pink, 8GB RAM, 256GB Storage)| 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",4.0,52,200+ bought in past month,29999.0,₹34999,(14% off),Yes,Oppo,Oppo F27 Pro+ 5G ,Pink,8GB,256GB,200,34999,14.0
"OPPO A3X 5G (Starry Purple, 4GB RAM, 64GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.4,77,50+ bought in past month,12499.0,₹14999,(17% off),Yes,Unknown,,Black,4GB,64GB,50,14999,17.0
"Oppo A3 Pro 5G (Moonlight Purple, 8GB RAM, 256GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers",3.7,57,200+ bought in past month,19999.0,₹22999,(13% off),Yes,Oppo,Oppo A3 Pro 5G ,Black,8GB,256GB,200,22999,13.0
"Oppo F27 Pro+ 5G (Midnight Navy, 8GB RAM, 128GB Storage) | 6.7"" FHD+ AMOLED Toughest 3D Curved Display|64MP AI Featured Camera|IP69 | 67W SUPERVOOC| with No Cost EMI/Additional Exchange Offers",4.1,70,200+ bought in past month,27999.0,₹32999,(15% off),Yes,Oppo,Oppo F27 Pro+ 5G ,Black,8GB,128GB,200,32999,15.0
