Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"realme GT 6T 5G (Razor Green,12GB RAM+512GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.1,121,200+ bought in past month,39999,₹41999,(5% off),No,Unknown,,Green,12GB,512GB,200,41999,5.0
"realme NARZO 70 Turbo 5G (Turbo Yellow,12GB RAM,256GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",4.2,99,500+ bought in past month,20998,₹23999,(13% off),No,Unknown,,Black,12GB,256GB,500,23999,13.0
"realme 12x 5G (Woodland Green, 6GB RAM, 128GB Storage) | Upto 12GB (6+6GB) Dynamic RAM | Dimensity 6100+ Processor | 50 MP AI Camera | 7.69 mm Ultra-Slim Trendy Watch Design | 45 W SUPERVOOC Charge",4.1,256,1K+ bought in past month,12346,₹17999,(31% off),No,Unknown,,Green,6GB,128GB,1000,17999,31.0
"realme GT 6T 5G (Miracle Purple,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.4,176,300+ bought in past month,32998,₹35999,(8% off),No,Unknown,,Black,8GB,256GB,300,35999,8.0
"realme GT 6T 5G (Fluid Silver,8GB RAM+128GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.3,391,500+ bought in past month,30998,₹33999,(9% off),No,Unknown,,Silver,8GB,128GB,500,33999,9.0
"realme 12+ 5G (Pioneer Green, 8GB RAM, 256GB Storage)",3.9,280,100+ bought in past month,18999,₹25999,(27% off),No,Unknown,,Green,8GB,256GB,100,25999,27.0
realme P1 Pro 5G (12GB RAM & 256GB Storage) (Parrot Blue),4.0,132,0,20999,₹25999,(19% off),No,Unknown,,Blue,12GB,256GB,0,25999,19.0
"realme NARZO N65 5G (Amber Gold 8GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",3.9,54,2K+ bought in past month,13498,₹15999,(16% off),No,Unknown,,Gold,8GB,128GB,2000,15999,16.0
"realme 12 Pro+ 5G (Navigator Beige, 12GB RAM, 256GB Storage) | 6.7"" 120Hz Curved AMOLED Display | 64MP Periscope + 50MP Sony IMX 890 OIS Camera + 8MP | 32MP Selfie Camera | 67W Super VOOC Charge",4.1,454,100+ bought in past month,27949,₹37999,(26% off),No,Unknown,,Black,12GB,256GB,100,37999,26.0
"realme 13 5G (Speed Green, 8GB RAM, 128GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | 6.72"" AMOLED Display | 45W Ultra Charging | Dimensity 6300 Processor",4.0,32,500+ bought in past month,14450,₹21999,(34% off),No,Unknown,,Green,8GB,128GB,500,21999,34.0
"realme NARZO 70 5G（Ice Blue,6GB RAM, 128GB Storage | Dimensity 7050 5G Chipset | 120Hz AMOLED Display | 50MP Primary Camera | 45W Charger in The Box",4.1,637,0,15999,₹19999,(20% off),No,Unknown,,Blue,6GB,128GB,0,19999,20.0
"realme 12X 5G (Twilight Purple, 6GB RAM, 128GB Storage)",4.0,231,500+ bought in past month,12146,₹17999,(33% off),No,Unknown,,Black,6GB,128GB,500,17999,33.0
"realme P1 Pro 5G (Parrot Blue, 8GB RAM, 128GB Storage) | Up to 16 GB Dynamic RAM | Snapdragon 6 Gen 1 Processor | 6.7"" Curved AMOLED Display | 50MP + 8MP | 16MP Front Camera | IP65 Water Resistance",4.0,132,200+ bought in past month,17495,₹24999,(30% off),No,Unknown,,Blue,8GB,128GB,200,24999,30.0
