Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)",4.2,"36,520",200+ bought in past month,26750,₹74999,(64% off),Yes,Samsung,Samsung Galaxy S20 FE 5G ,Black,8GB,128GB,200,74999,64.0
"Samsung Galaxy A55 5G (Awesome Navy, 12GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,327,300+ bought in past month,45999,₹48999,(6% off),Yes,Samsung,Samsung Galaxy A55 5G ,Black,12GB,256GB,300,48999,6.0
"samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) Without Offer",3.2,13,200+ bought in past month,26590,₹36999,(28% off),Yes,Samsung,,Black,8GB,256GB,200,36999,28.0
"Samsung Galaxy A16 5G (Gold, 8GB RAM, 128GB Storage) | Super AMOLED | 50MP Triple Camera with Ultra Wide Lens | 6 OS & 6 Years Security Updates | IP54 | Tap & Pay | 5000mAh",3.3,11,50+ bought in past month,18999,₹21499,(12% off),Yes,Samsung,Samsung Galaxy A16 5G ,Gold,8GB,128GB,50,21499,12.0
"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,16499,₹17999,(8% off),Yes,Samsung,Samsung Galaxy M15 5G Prime Edition ,Blue,8GB,128GB,1000,17999,8.0
"Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 256GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",3.8,439,200+ bought in past month,33999,₹36999,(8% off),Yes,Samsung,Samsung Galaxy A35 5G ,Black,8GB,256GB,200,36999,8.0
"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 108MP | sAmoled+ 120Hz | 12GB RAM with RAM Plus | Without Charger",4.0,"12,329",0,19999,₹32999,(39% off),Yes,Samsung,Samsung Galaxy M53 5G ,Blue,12GB,128GB,0,32999,39.0
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,327,100+ bought in past month,42999,₹45999,(7% off),Yes,Samsung,Samsung Galaxy A55 5G ,Black,8GB,256GB,100,45999,7.0
"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)",4.2,"36,520",50+ bought in past month,25999,₹74999,(65% off),Yes,Samsung,Samsung Galaxy S20 FE 5G ,Black,8GB,128GB,50,74999,65.0
"Samsung Galaxy S21 FE 5G (Navy, 8GB RAM, 256GB Storage) with Snapdragon 888 Processor",3.9,"1,730",50+ bought in past month,30499,₹74999,(59% off),Yes,Samsung,Samsung Galaxy S21 FE 5G ,Black,8GB,256GB,50,74999,59.0
