Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Samsung Galaxy M35 5G (Daybreak Blue,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,527",2K+ bought in past month,23499.0,₹27499,(15% off),Yes,Samsung,Samsung Galaxy M35 5G ,Blue,8GB,256GB,2000,27499,15.0
"Samsung Galaxy M35 5G (Daybreak Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,527",5K+ bought in past month,18999.0,₹24499,(22% off),Yes,Samsung,Samsung Galaxy M35 5G ,Blue,6GB,128GB,5000,24499,22.0
"Samsung Galaxy A35 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",3.8,439,500+ bought in past month,30999.0,₹33999,(9% off),Yes,Samsung,Samsung Galaxy A35 5G ,Black,8GB,128GB,500,33999,9.0
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,4GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,13499.0,₹15999,(16% off),Yes,Samsung,Samsung Galaxy M15 5G Prime Edition ,Black,4GB,128GB,1000,15999,16.0
"Samsung Galaxy M35 5G (Moonlight Blue,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,527",3K+ bought in past month,23499.0,₹27499,(15% off),Yes,Samsung,Samsung Galaxy M35 5G ,Blue,8GB,256GB,3000,27499,15.0
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,527",5K+ bought in past month,18999.0,₹24499,(22% off),Yes,Samsung,Samsung Galaxy M35 5G ,Black,6GB,128GB,5000,24499,22.0
"Samsung Galaxy M55s 5G (Coral Green,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger",3.2,355,2K+ bought in past month,22999.0,₹28999,(21% off),Yes,Samsung,Samsung Galaxy M55s 5G ,Green,8GB,128GB,2000,28999,21.0
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,6GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,5K+ bought in past month,14999.0,₹16999,(12% off),Yes,Samsung,Samsung Galaxy M15 5G Prime Edition ,Blue,6GB,128GB,5000,16999,12.0
"Samsung Galaxy M35 5G (Moonlight Blue,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,527",5K+ bought in past month,18999.0,₹24499,(22% off),Yes,Samsung,Samsung Galaxy M35 5G ,Blue,6GB,128GB,5000,24499,22.0
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,4GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,3K+ bought in past month,13499.0,₹15999,(16% off),No,Samsung,Samsung Galaxy M15 5G Prime Edition ,Blue,4GB,128GB,3000,15999,16.0
"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger",4.1,"35,249",200+ bought in past month,17190.0,₹24999,(31% off),No,Samsung,Samsung Galaxy M33 5G ,Green,16GB,128GB,200,24999,31.0
"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | Metal Frame | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",4.0,327,200+ bought in past month,45999.0,₹48999,(6% off),No,Samsung,Samsung Galaxy A55 5G ,Black,12GB,256GB,200,48999,6.0
"Samsung Galaxy M55s 5G (Thunder Black,8GB RAM,128GB Storage) | 50MP Triple Cam| 5000mAh Battery| Snapdragon 7 Gen 1 | 4 Gen. OS Upgrade & 5 Year Security Update| Super AMOLED+ Display| Without Charger",3.2,355,1K+ bought in past month,22999.0,₹28999,(21% off),No,Samsung,Samsung Galaxy M55s 5G ,Black,8GB,128GB,1000,28999,21.0
"Samsung Galaxy A35 5G (Awesome Lilac, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",3.8,439,400+ bought in past month,30999.0,₹33999,(9% off),No,Samsung,Samsung Galaxy A35 5G ,Black,8GB,128GB,400,33999,9.0
"Samsung Galaxy S21 FE 5G (Graphite, 8GB RAM, 256GB Storage) with Snapdragon 888 Processor",3.9,"1,730",200+ bought in past month,30799.0,₹74999,(59% off),No,Samsung,Samsung Galaxy S21 FE 5G ,Black,8GB,256GB,200,74999,59.0
"Samsung Galaxy S21 FE 5G (Graphite, 8GB RAM, 256GB Storage) with Snapdragon 888 Processor",3.9,"1,730",200+ bought in past month,30799.0,₹74999,(59% off),Yes,Samsung,Samsung Galaxy S21 FE 5G ,Black,8GB,256GB,200,74999,59.0
"Samsung Galaxy Z Flip6 5G AI Smartphone (Mint, 12GB RAM, 512GB Storage)",4.3,73,0,101999.0,₹121999,(16% off),Yes,Samsung,Samsung Galaxy Z Flip6 5G AI Smartphone ,Black,12GB,512GB,0,121999,16.0
"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,16499.0,₹17999,(8% off),Yes,Samsung,Samsung Galaxy M15 5G Prime Edition ,Blue,8GB,128GB,1000,17999,8.0
