Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Color,RAM,Storage,New Bought Last Month,New Dashed MRP,New Discount (%)
"Vivo Y28s 5G (Vintage Red, 6GB RAM, 128GB Storage) with outOffers",3.7,74,0,13574,₹19999,(32% off),Yes,Vivo,Vivo Y28s 5G ,Red,6GB,128GB,0,19999,32.0
"vivo Y28e 5G (Vintage Red, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,50+ bought in past month,11999,₹15999,(25% off),Yes,Unknown,,Red,4GB,128GB,50,15999,25.0
"vivo X Fold3 Pro 5G (Celestial Black, 16GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers",4.9,18,0,159999,₹169999,(6% off),Yes,Unknown,,Black,16GB,512GB,0,169999,6.0
"Vivo V40 5G Smartphone (Ganges Blue, 8GB RAM, 256GB Storage)",4.2,16,400+ bought in past month,33943,₹42999,(21% off),Yes,Vivo,Vivo V40 5G Smartphone ,Blue,8GB,256GB,400,42999,21.0
"vivo Y28e 5G (Breeze Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,100+ bought in past month,10999,₹14999,(27% off),Yes,Unknown,,Green,4GB,64GB,100,14999,27.0
"Vivo Y200 5G (Desert Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,75,50+ bought in past month,23000,₹28999,(21% off),Yes,Vivo,Vivo Y200 5G ,Gold,8GB,256GB,50,28999,21.0
"vivo Y28e 5G (Vintage Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.7,74,200+ bought in past month,10999,₹14999,(27% off),Yes,Unknown,,Red,4GB,64GB,200,14999,27.0
"Vivo Y300 Plus 5G (Silk Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",2.7,7,0,23999,₹29999,(20% off),Yes,Vivo,Vivo Y300 Plus 5G ,Black,8GB,128GB,0,29999,20.0
"Vivo V30 5G Smartphone, 8GB RAM 128GB Storage, Classic Black",4.2,14,100+ bought in past month,26500,₹38999,(32% off),Yes,Vivo,"Vivo V30 5G Smartphone, 8GB RAM 128GB Storage, Classic Black",Black,8GB,128GB,100,38999,32.0
"vivo Y200 Pro 5G (Silk Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers | 3D Curved AMOLED Display",3.8,40,0,24999,₹29999,(17% off),Yes,Unknown,,Black,8GB,128GB,0,29999,17.0
"Vivo Y27 (Garden Green, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,953,0,10999,₹18999,(42% off),Yes,Vivo,Vivo Y27 ,Green,6GB,128GB,0,18999,42.0
