Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery,Brand,Product,Storage,Color,New Bought Last Month,New Dashed MRP,New Discount (%)
Apple iPhone 16 Plus (256 GB) - Ultramarine,4.1,50,50+ bought in past month,99900,,,0,Apple,iPhone 16 Plus,256GB,Ultramarine,50,99900,0.0
Apple iPhone 16 Pro (1 TB) - Black Titanium,3.7,36,,169900,,,0,,,,Red,0,169900,0.0
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.4,372,M.R.P:,145900,₹179900,(19% off),0,Apple,iPhone 15 Pro Max,512GB,Blue Titanium,0,179900,19.0
Apple iPhone 14 (512 GB) - Starlight,4.5,"5,676",M.R.P:,84900,₹99900,(15% off),0,Apple,iPhone 14,512GB,Starlight,0,99900,15.0
Apple iPhone 15 (512 GB) - Blue,4.5,"2,376",M.R.P:,94900,₹109900,(14% off),0,Apple,iPhone 15,512GB,Blue,0,109900,14.0
Apple iPhone 13 (512GB) - Starlight,4.5,"31,007",M.R.P:,73999,₹89900,(18% off),0,Apple,iPhone 13,512GB,Starlight,0,89900,18.0
Apple iPhone 15 Plus (128 GB) - Yellow,4.6,"1,061",M.R.P:,69900,₹89900,(22% off),0,Apple,iPhone 15 Plus,128GB,Yellow,0,89900,22.0
Apple iPhone 16 Plus (256 GB) - Pink,4.1,50,,99900,,,0,Apple,iPhone 16 Plus,256GB,Pink,0,99900,0.0
Apple iPhone 13 (512GB) - (Product) RED,4.5,"31,007",M.R.P:,73999,₹89900,(18% off),0,Apple,iPhone 13,512GB,,0,89900,18.0
Apple iPhone 14 (512 GB) - Midnight,4.5,"5,676",M.R.P:,84900,₹99900,(15% off),0,Apple,iPhone 14,512GB,Midnight,0,99900,15.0
Apple iPhone 14 (256 GB) - (Product) RED,4.5,"5,676",M.R.P:,66900,₹89900,(26% off),0,Apple,iPhone 14,256GB,,0,89900,26.0
Apple iPhone 16 (512 GB) - Black,4.4,62,,109900,,,0,Apple,iPhone 16,512GB,Black,0,109900,0.0
Apple iPhone 14 Plus (256 GB) - Purple,4.5,"2,055",M.R.P:,74900,₹89900,(17% off),0,Apple,iPhone 14 Plus,256GB,Purple,0,89900,17.0
