rating_stars,number_of_reviews,bought_last_month,original_mrp,discount%,free_delivery,storage_in_GB,RAM_in_GB,brand_apple,brand_oneplus,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,color_Black,color_Black Titanium,color_Blue,color_Blue Titanium,color_Desert Titanium,color_Gold,color_Graphite,color_Gray,color_Green,color_Midnight,color_Natural Titanium,color_Pacific Blue,color_Pink,color_Purple,color_Red,color_Silver,color_Space Black,color_Starlight,color_Teal,color_Ultramarine,color_White,color_White Titanium,color_Yellow
0.75,-0.1773996831749573,-0.28737588517308993,0.47137686525092565,-0.446154,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,-0.17767573386708652,-0.37072693146886204,0.46497954256833607,-0.476923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,0.34723465721660063,3.713474337023972,0.04488868641161921,-0.261538,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.75,0.264074386212677,3.713474337023972,0.038491363729029615,-0.261538,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.024048309406331507,3.713474337023972,0.04488868641161921,-0.261538,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.037322746285773555,0.47137686525092565,-0.938462,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.14841436050139056,-0.037322746285773555,0.46497954256833607,-0.476923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.037322746285773555,0.47137686525092565,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8,-0.17608844238734356,-0.12067379258154567,0.6782236319879893,-0.323077,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.07919464944999191,-0.28737588517308993,0.25173545314868284,-0.353846,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.24399169836027718,3.713474337023972,0.038491363729029615,-0.261538,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,-0.14468767615764627,-0.12067379258154567,0.46497954256833607,-0.476923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.05000228875732827,-0.037322746285773555,0.2581327758312724,0.076923,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.03764902028454625,2.8799638740662505,0.04488868641161921,-0.261538,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,-0.18933887560954551,-0.37072693146886204,1.5375973123491917,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0,-0.19189234451174067,-0.28737588517308993,1.8593826432834484,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8,-0.1740870748694068,-0.28737588517308993,0.6782236319879893,-0.323077,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,-0.18933887560954551,-0.28737588517308993,1.3243532229295385,-1.0,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.4,-0.18933887560954551,-0.28737588517308993,1.3243532229295385,-1.0,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.37072693146886204,0.47137686525092565,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,-0.18692343205341494,-0.2040248388773178,0.47137686525092565,-0.938462,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.25,-0.19209938253083758,-0.41240245461674807,1.8574634464786715,-1.0,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.65,-0.18713047007251185,-0.41240245461674807,2.177329580608151,-0.415385,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.19216839520386989,-0.45407797776463416,2.283951625317978,-1.0,-1,2.3288190037264562,0.1600031796843969,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.37072693146886204,0.6846209546705788,-0.907692,-1,-0.6589744436774078,0.1600031796843969,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.1773996831749573,-0.37072693146886204,0.47137686525092565,-0.446154,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,-0.18871776155225478,-0.41240245461674807,0.897865044090232,-0.938462,-1,0.3369567054572136,0.1600031796843969,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,-0.16456332599094917,-0.037322746285773555,0.2581327758312724,-0.353846,-1,0.3369567054572136,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.75,-0.1338526864915749,-0.37072693146886204,0.25173545314868284,-0.353846,-1,-0.6589744436774078,-0.6535723102362648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
