Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,505",5K+ bought in past month,79999,₹149999,(47% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,770,5K+ bought in past month,6999,₹9999,(30% off),No
Apple iPhone 16 Pro (128 GB) - White Titanium,3.8,44,100+ bought in past month,119900,N/A,N/A,No
Apple iPhone 14 (128 GB) - Midnight,4.6,"1,331",100+ bought in past month,54900,₹69600,(21% off),No
Apple iPhone 15 Pro Max (1 TB) - Natural Titanium,3.0,10,M.R.P:,159900,₹199900,(20% off),No
Apple iPhone 16 (256 GB) - Pink,4.5,79,N/A,89900,N/A,N/A,No
Apple iPhone 15 Pro Max (1 TB) - Black Titanium,3.6,7,M.R.P:,159900,₹199900,(20% off),No
Apple iPhone 15 (128 GB) - Pink,4.4,213,100+ bought in past month,65900,₹79600,(17% off),No
Apple iPhone 13 (256GB) - (Product) RED,4.5,401,50+ bought in past month,54999,₹69900,(21% off),No
Apple iPhone 15 (256 GB) - Pink,4.6,63,100+ bought in past month,77490,₹89600,(14% off),No
Apple iPhone 13 Pro Max (1TB) - Silver,4.6,"1,561",M.R.P:,157900,₹179900,(12% off),No
Apple iPhone 15 Plus (128 GB) - Green,4.6,112,100+ bought in past month,69900,₹79900,(13% off),No
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,4.4,116,M.R.P:,134900,₹159900,(16% off),No
Apple iPhone 15 Pro Max (512 GB) - Natural Titanium,4.7,4,M.R.P:,145900,₹179900,(19% off),No
Apple iPhone 15 Plus (256 GB) - Black,4.4,112,50+ bought in past month,86990,₹99600,(13% off),No
Apple iPhone 14 Plus (128 GB) - Blue,4.5,463,M.R.P:,69900,₹79900,(13% off),No
Apple iPhone 16 Plus (128 GB) - Pink,4.1,53,50+ bought in past month,86900,₹89900,(3% off),No
Apple iPhone 14 Plus (256 GB) - Yellow,4.3,35,M.R.P:,74900,₹99900,(25% off),No
