Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",4.1,"1,437",5K+ bought in past month,17999,₹20999,(14% off),Yes
"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",4.1,"5,268",5K+ bought in past month,16999,₹26999,(37% off),Yes
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)",4.2,"21,342",4K+ bought in past month,15657,₹19999,(22% off),Yes
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 128GB Storage)",4.2,"1,258",5K+ bought in past month,22999,₹24999,(8% off),Yes
"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)",4.3,"5,555",4K+ bought in past month,28999,₹39999,(28% off),Yes
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage)",4.2,408,2K+ bought in past month,29999,₹32999,(9% off),Yes
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)",4.2,"1,706",4K+ bought in past month,22999,₹24999,(8% off),Yes
"OnePlus 12R (Sunset Dune, 8GB RAM, 256GB Storage)",4.3,228,2K+ bought in past month,38999,₹42999,(9% off),Yes
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",4.2,"22,285",2K+ bought in past month,15640,₹19999,(22% off),Yes
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"1,184",2K+ bought in past month,40999,₹45999,(11% off),Yes
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,505",5K+ bought in past month,79999,₹149999,(47% off),Yes
Spigen Rugged Armor Back Cover Case Compatible with OnePlus 6 (TPU | Matte Black),4.5,"5,555",M.R.P:,874,₹1699,(49% off),Yes
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",4.2,335,4K+ bought in past month,17999,₹20999,(14% off),Yes
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"1,693",5K+ bought in past month,24999,₹26999,(7% off),Yes
"OnePlus Nord 4 5G (Obsidian Midnight, 8GB RAM, 256GB Storage)",4.2,251,1K+ bought in past month,29999,₹32999,(9% off),Yes
"OnePlus Nord CE4 Lite 5G (Mega Blue, 8GB RAM, 128GB Storage)",4.1,712,5K+ bought in past month,17999,₹20999,(14% off),Yes
"Oneplus Nord CE4 (Dark Chrome, 8GB RAM, 256GB Storage)",4.2,"1,301",4K+ bought in past month,24999,₹26999,(7% off),Yes
"OnePlus 12 (Flowy Emerald, 16GB RAM, 512GB Storage)",4.4,848,500+ bought in past month,66999,₹69999,(4% off),Yes
COLORflow Back Cover case Compatible with Oneplus 5T | Solid Color Customized Back Cover Compatible with Oneplus 5T,5.0,1,M.R.P:,329,₹899,(63% off),Yes
Spigen Rugged Armor Back Cover Case Compatible with Oneplus Nord (TPU | Black),4.4,"5,779",100+ bought in past month,924,₹1699,(46% off),Yes
"Amazfit Active Edge 46mm Smartwatch, AI Health Coach for Gym, Outdoor Activity & Exercise, Ultra Long 16 Days Battery, 10ATM Water Resistance, Stylish Rugged Design, Android/iOS, GPS (Midnight Pulse)",3.5,117,300+ bought in past month,7999,₹19999,(60% off),Yes
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.9,76,100+ bought in past month,27999,₹33999,(18% off),Yes
