Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,770,5K+ bought in past month,6999,₹9999,(30% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.4,"2,505",4K+ bought in past month,79999,₹149999,(47% off),No
"Redmi A3 (Lake Blue, 4GB RAM, 128GB Storage) | Premium Halo Design | 90Hz Display | Powerful 4G G36 Processor",3.7,23,200+ bought in past month,7999,₹10999,(27% off),No
"OnePlus 12R (Iron Gray, 16GB RAM, 256GB Storage)",4.3,"1,184",2K+ bought in past month,40999,₹45999,(11% off),No
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.2,"15,271",M.R.P:,18999,₹20990,(9% off),No
"OPPO A9 2020 (Space Purple, 4GB RAM, 128GB Storage)",4.2,"1,470",M.R.P:,13490,₹18990,(29% off),No
"Oppo F21s Pro (Dawnlight Gold, 8GB RAM, 128 Storage)|6.43"" FHD+ AMOLED|32MP Front Camera with Microlens|4500 mAh Battery with 33W SUPERVOOC Charger|with No Cost EMI/Additional Exchange Offers",4.1,620,No featured offers available,N/A,N/A,N/A,No
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 256GB Storage)",4.2,"1,693",5K+ bought in past month,24999,₹26999,(7% off),No
"OPPO F11 Pro (Thunder Black, 6GB RAM, 64GB Storage)",4.3,"2,472",M.R.P:,17999,₹28990,(38% off),No
"(Refurbished) OPPO Reno3 Pro (Auroral Blue, 8GB RAM, 128GB Storage)",3.8,58,M.R.P.:,12999,₹29999,(57% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.8,"1,514",1K+ bought in past month,15999,₹20999,(24% off),No
"Lava Yuva 3 (Cosmic Lavender, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free",4.0,149,2K+ bought in past month,6699,₹7999,(16% off),No
"Oppo F27 Pro+ 5G (Midnight Navy, 8GB RAM, 128GB Storage) Without Offer",N/A,N/A,M.R.P:,25500,₹32999,(23% off),No
"Oppo Reno 11 Pro 5G (Rock Grey, 12GB RAM+ 256GB Storage)",3.8,17,M.R.P:,32996,₹44999,(27% off),No
"(Refurbished) Oppo A17 (Lake Blue, 4GB RAM, 64GB Storage)",3.5,9,M.R.P.:,9199,₹14999,(39% off),No
"Oppo A77 (Sunset Orange, 4GB RAM, 128 Storage) with No Cost EMI/Additional Exchange Offers",3.6,24,M.R.P:,13999,₹19999,(30% off),No
"Oppo Reno8 5G (Shimmer Black, 128 GB) (8 GB RAM)",3.8,162,M.R.P:,24990,₹38999,(36% off),No
"OPPO K10 (Blue Flame, 6GB RAM 128GB Storage)",4.1,469,M.R.P:,14990,₹18999,(21% off),No
"realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera",4.1,"4,186",M.R.P:,11487,₹14999,(23% off),No
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.8,700,5K+ bought in past month,14999,₹16999,(12% off),No
