Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,770,5K+ bought in past month,6999,₹9999,(30% off),No
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,455,4K+ bought in past month,12934,₹17999,(28% off),No
"realme GT 6T 5G (Razor Green,12GB RAM+512GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.1,121,200+ bought in past month,39999,₹41999,(5% off),No
"realme NARZO 70 Turbo 5G (Turbo Yellow,12GB RAM,256GB Storage) | Segment's Fastest Dimensity 7300 Energy 5G Chipset | Motorsports Inspired Design",4.2,99,500+ bought in past month,20998,₹23999,(13% off),No
"realme 12x 5G (Woodland Green, 6GB RAM, 128GB Storage) | Upto 12GB (6+6GB) Dynamic RAM | Dimensity 6100+ Processor | 50 MP AI Camera | 7.69 mm Ultra-Slim Trendy Watch Design | 45 W SUPERVOOC Charge",4.1,256,1K+ bought in past month,12346,₹17999,(31% off),No
"realme GT 6T 5G (Miracle Purple,8GB RAM+256GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M + AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.4,176,300+ bought in past month,32998,₹35999,(8% off),No
"realme GT 6T 5G (Fluid Silver,8GB RAM+128GB Storage) | India's 1st 7+ Gen 3 Flagship Chipset | 1.5M+AnTuTu Score | 5500mAh+120W | The World's Brightest Flagship Display",4.3,391,500+ bought in past month,30998,₹33999,(9% off),No
"realme C61 4G (6 GB, 128GB Safari Green)",2.8,10,300+ bought in past month,7945,₹10999,(28% off),No
"Realme C65, Glowing Black , 6GB + 128GB",3.5,39,300+ bought in past month,11600,₹15999,(27% off),No
"realme 12+ 5G (Pioneer Green, 8GB RAM, 256GB Storage)",3.9,280,100+ bought in past month,18999,₹25999,(27% off),No
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.9,76,100+ bought in past month,27999,₹33999,(18% off),No
"Lava Yuva 3 (Eclipse Black, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free",4.0,149,1K+ bought in past month,6699,₹8499,(21% off),No
realme P1 Pro 5G (12GB RAM & 256GB Storage) (Parrot Blue),4.0,132,M.R.P:,20999,₹25999,(19% off),No
"realme NARZO N65 5G (Amber Gold 8GB RAM, 128GB Storage) India's 1st D6300 5G Chipset | Ultra Slim Design | 120Hz Eye Comfort Display | 50MP AI Camera| Charger in The Box",3.9,54,2K+ bought in past month,13498,₹15999,(16% off),No
"realme 12 Pro+ 5G (Navigator Beige, 12GB RAM, 256GB Storage) | 6.7"" 120Hz Curved AMOLED Display | 64MP Periscope + 50MP Sony IMX 890 OIS Camera + 8MP | 32MP Selfie Camera | 67W Super VOOC Charge",4.1,454,100+ bought in past month,27949,₹37999,(26% off),No
"realme 12 5G (Woodland Green, 8GB RAM 128 GB Storage) | 108 MP 3X Zoom Portrait Camera | Trendy Watch Design | 45 W SUPERVOOC Charge | 5000 mAh Massive Battery | Dual Stereo Speakers | Dynamic Button",4.1,172,400+ bought in past month,13890,₹19999,(31% off),No
"realme 13 5G (Speed Green, 8GB RAM, 128GB Storage) | Expandable Upto 2TB | Up to 18GB Dynamic RAM | 50MP AI Dual Camera | 6.72"" AMOLED Display | 45W Ultra Charging | Dimensity 6300 Processor",4.0,32,500+ bought in past month,14450,₹21999,(34% off),No
"realme NARZO 70 5G（Ice Blue,6GB RAM, 128GB Storage | Dimensity 7050 5G Chipset | 120Hz AMOLED Display | 50MP Primary Camera | 45W Charger in The Box",4.1,637,M.R.P:,15999,₹19999,(20% off),No
"realme 12X 5G (Twilight Purple, 6GB RAM, 128GB Storage)",4.0,231,500+ bought in past month,12146,₹17999,(33% off),No
"realme P1 Pro 5G (Parrot Blue, 8GB RAM, 128GB Storage) | Up to 16 GB Dynamic RAM | Snapdragon 6 Gen 1 Processor | 6.7"" Curved AMOLED Display | 50MP + 8MP | 16MP Front Camera | IP65 Water Resistance",4.0,132,200+ bought in past month,17495,₹24999,(30% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,505",5K+ bought in past month,79999,₹149999,(47% off),No
"Lava O3 (Glossy Black, 4 GB RAM, 64 GB Storage) | Biggest 6.75"" HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Cover in Box",3.7,39,1K+ bought in past month,6199,₹7199,(14% off),No
