Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,419",4K+ bought in past month,74999,₹149999,(50% off),Yes
"Samsung Galaxy S24 5G AI Smartphone (Amber Yellow, 8GB, 128GB Storage)",4.0,403,100+ bought in past month,62999,₹74999,(16% off),Yes
"Samsung Galaxy S21 FE 5G (Graphite, 8GB RAM, 256GB Storage) with Snapdragon 888 Processor",3.9,"1,730",200+ bought in past month,30799,₹74999,(59% off),Yes
Samsung Galaxy S23 FE 5G (Graphite 256 GB Storage) (8 GB RAM),3.7,974,1K+ bought in past month,39899,₹84999,(53% off),Yes
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.5,"2,419",5K+ bought in past month,74999,₹149999,(50% off),Yes
"Samsung Galaxy M14 4G (Arctic Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger",3.8,442,1K+ bought in past month,8500,₹13999,(39% off),Yes
"Samsung Galaxy Z Flip6 5G AI Smartphone (Mint, 12GB RAM, 512GB Storage)",4.3,73,M.R.P:,101999,₹121999,(16% off),Yes
"Samsung Galaxy M15 5G Prime Edition (Celestial Blue,8GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,573,1K+ bought in past month,16499,₹17999,(8% off),Yes
"Samsung Galaxy Note 20 Ultra 5G (Mystic Bronze, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",4.4,"1,383",M.R.P:,64999,₹129000,(50% off),Yes
"Samsung Galaxy S23 5G Snapdragon (Cream, 8GB, 128GB Storage)",4.4,148,300+ bought in past month,44100,₹89999,(51% off),Yes
"Redmi Note 13 5G (Chromatic Purple, 6GB RAM, 128GB Storage)",3.7,"5,684",4K+ bought in past month,13989,₹20999,(33% off),Yes
"Lava Yuva 3 (Cosmic Lavender, 4+4*GB + 128GB)|Segment's Most Affordable Smartphone with 128 GB (UFS 2.2) Storage | 90Hz Punch Hole Display|13MP AI Triple Camera|Side Fingerprint Sensor |Bloatware Free",4.0,265,2K+ bought in past month,6699,₹7999,(16% off),Yes
"Samsung Galaxy A54 5G (Awesome Graphite, 8GB, 128GB Storage) Without Offer",4.0,179,200+ bought in past month,24500,₹41999,(42% off),Yes
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)",4.1,"3,006",5K+ bought in past month,17999,₹19999,(10% off),Yes
"Samsung Galaxy A35 5G (Awesome Iceblue, 8GB RAM, 256GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",3.8,439,400+ bought in past month,33999,₹36999,(8% off),Yes
"Samsung Galaxy S22 5G (Green, 8GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.2,"2,021",50+ bought in past month,37567,₹85999,(56% off),Yes
"(Refurbished) Samsung Galaxy S21 FE 5G (Graphite, 8GB, 128GB Storage)",3.2,40,New Price:,25897,₹29999,(14% off),Yes
"Samsung Original 25W Type-C Travel Adaptor without Cable, White",4.4,"45,379",30K+ bought in past month,980,₹1699,(42% off),Yes
"OnePlus Nord CE4 Lite 5G (Ultra Orange, 8GB RAM, 128GB Storage)",4.1,"3,006",5K+ bought in past month,17999,₹20999,(14% off),Yes
"SAMSUNG Galaxy F55 5G, Apricot Crush (8GB, 256GB)",2.9,5,100+ bought in past month,21786,₹31999,(32% off),Yes
