Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Vivo V40e 5G AI Smartphone (Royal Bronze, 8GB RAM + 128GB Storge)",4.3,11,500+ bought in past month,26354,₹32999,(20% off),No
"Vivo T3X 5G (Crimson Bliss, 4GB Ram, 128GB Storage)",4.2,17,500+ bought in past month,12369,₹17499,(29% off),No
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 6GB Ram 128GB Storage)",3.5,42,1K+ bought in past month,11880,₹18999,(37% off),No
"Vivo V40e 5G AI Smartphone (Royal Bronze, 8GB RAM + 256GB Storage)",4.6,11,500+ bought in past month,28275,₹35999,(21% off),No
"Vivo T3 5G (Cosmic Blue, 128 GB) (8 GB RAM)",5.0,2,100+ bought in past month,18504,₹22999,(20% off),No
"Vivo T3 Lite 5G Smartphone (Vibrant Green, 4GB Ram 128GB Storage)",3.5,17,1K+ bought in past month,10739,₹17499,(39% off),No
"vivo Y58 5G (Himalayan Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,52,500+ bought in past month,18499,₹23999,(23% off),No
"Vivo V30e 5G Smartphone (Silk Blue, 8GB RAM, 128GB Storage)",4.3,39,200+ bought in past month,23000,₹32999,(30% off),No
"Vivo T3x 5G (Celestial Green, 128 GB) (6 GB RAM)",4.3,56,1K+ bought in past month,14750,₹18999,(22% off),No
"vivo Y28s 5G (Vintage Red, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",3.7,74,500+ bought in past month,14999,₹19999,(25% off),No
"Lava Agni 3 5G (Prestine Glass, 8GB+128GB) | India's 1st Dual AMOLED | Dimensity 7300X | 50MP Triple AI Camera | 66W Fast Charge & 5000 mAh Battery | with Charger | Flat Rs.1500 Off on All Banks",4.4,192,400+ bought in past month,23999,₹25999,(8% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,470",5K+ bought in past month,79999,₹149999,(47% off),No
"Vivo T3 Lite 5G Smartphone (Majestic Black, 6GB Ram 128GB Storage)",3.7,65,500+ bought in past month,11760,₹15499,(24% off),No
"Vivo V30e 5G Smartphone (Velvet Red, 8GB RAM, 128GB Storage)",4.3,41,200+ bought in past month,23000,₹32999,(30% off),No
"Vivo V30e 5G Smartphone (Velvet Red, 8GB RAM, 256GB Storage)",4.3,39,300+ bought in past month,25388,₹34999,(27% off),No
"vivo Y18 (Space Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers | Without Charger",3.4,14,100+ bought in past month,8499,₹12999,(35% off),No
"vivo Y58 5G (Sundarbans Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.0,52,400+ bought in past month,18499,₹23999,(23% off),No
"Vivo Y200e 5G (Saffron Delight, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1,311,100+ bought in past month,20999,₹25999,(19% off),No
"Redmi 13 5G, Orchid Pink, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,"2,182",1K+ bought in past month,14499,₹19999,(28% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,731,5K+ bought in past month,7999,₹9999,(20% off),No
"Redmi Note 13 5G (Stealth Black, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",500+ bought in past month,15999,₹20999,(24% off),No
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,618",5K+ bought in past month,18999,₹24499,(22% off),No
