Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Tecno POVA 6 NEO 5G (Aurora Cloud, 8GB+256GB) | Advanced AI Features | 108MP Ultra Clear AI Camera | D6300 Powerful Processor | 5 Year Lag Free Fluency | 5000 mAh Battery | in Built Infrared and NFC",3.9,230,1K+ bought in past month,13999,₹16999,(18% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,731,5K+ bought in past month,7999,₹9999,(20% off),No
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,339",10K+ bought in past month,2199,₹3999,(45% off),No
"MI Xiaomi Beard Trimmer 2C With High Precision Trimming | 2 Beard Comb | USB Type-C | Fast Charging | 0.5mm Precision | 40 Length Settings | 90 Min Run Time, Black",4.2,"90,472",9K+ bought in past month,1199,₹1999,(40% off),No
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Mist Blue",4.5,"4,018",500+ bought in past month,25999,₹41999,(38% off),No
"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",4.4,963,2K+ bought in past month,349,₹699,(50% off),No
"Redmi Note 12 Pro 5G (Onyx Black, 12GB RAM, 256GB Storage)",4.0,56,M.R.P:,21999,₹32999,(33% off),No
"MI 10T 5G Cosmic Black, 6GB RAM, 128GB Storage - |Additional Exchange/No Cost EMI Offers",3.9,"1,475",M.R.P:,16660,₹39999,(58% off),No
"MI Xiaomi Grooming Kit,(Trimmer Kit) All-In-One Professional Styling trimmer, Body Groomer, Nose & Ear Hair Trimming blade, Beard Comb,40 Length Settings,0.5mm Precision,Type-C & 90 min Run Time,Black",4.2,"62,043",4K+ bought in past month,1799,₹3299,(45% off),No
Xiaomi Smart Speaker IR Control LED Display Black,3.5,179,200+ bought in past month,2250,₹5999,(62% off),No
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"4,618",5K+ bought in past month,18999,₹24499,(22% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,707",1K+ bought in past month,15999,₹20999,(24% off),No
"Xiaomi Mi 11 Lite (Jazz Blue, 8GB RAM, 128GB Storage)",3.7,232,M.R.P:,12920,₹25999,(50% off),No
"Xiaomi 14 CIVI (Matcha Green, 8GB RAM, 256GB Storage)",4.2,6,M.R.P:,38999,₹54999,(29% off),No
"Xiaomi 14 CIVI (Cruise Blue, 12GB RAM, 512GB Storage)",4.5,2,M.R.P:,45999,₹59999,(23% off),No
"Redmi Note 13 Pro (Midnight Black, 12GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",300+ bought in past month,25999,₹32999,(21% off),No
"Redmi Note 13 Pro+ World Champions Edition (Victory Blue, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,50+ bought in past month,34999,₹44999,(22% off),No
"Redmi Note 13 Pro (Coral Purple, 12GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,401",500+ bought in past month,25999,₹32999,(21% off),No
"Redmi Note 13 Pro+ (Fusion Purple, 12GB RAM, 512GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.8,863,500+ bought in past month,31999,₹37999,(16% off),No
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches",4.2,129,700+ bought in past month,1699,₹2999,(43% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",4.4,"2,470",5K+ bought in past month,79999,₹149999,(47% off),No
