Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
Apple iPhone 15 Pro (512 GB) - Blue Titanium,4.4,364,M.R.P:,139900.0,₹164900,(15% off),Yes
Apple iPhone 14 (128 GB) - Purple,4.5,"5,733",100+ bought in past month,55990.0,₹69600,(20% off),Yes
Apple iPhone 13 (128GB) - Starlight,4.5,"31,476",1K+ bought in past month,45490.0,₹59900,(24% off),Yes
Apple iPhone 13 (128GB) - Pink,4.5,"31,476",500+ bought in past month,45490.0,₹59900,(24% off),Yes
Apple iPhone 13 (128GB) - Midnight,4.5,"31,476",500+ bought in past month,45490.0,₹59600,(24% off),Yes
Apple iPhone 14 (128 GB) - Midnight,4.5,"5,733",300+ bought in past month,52990.0,₹69600,(24% off),Yes
Apple iPhone 13 (128GB) - Blue,4.5,"31,476",500+ bought in past month,45490.0,₹59600,(24% off),Yes
Apple iPhone 15 (128 GB) - Blue,4.5,"2,436",500+ bought in past month,64900.0,₹79600,(18% off),Yes
Apple iPhone 13 (128GB) - Green,4.5,"31,476",400+ bought in past month,45490.0,₹59600,(24% off),Yes
Apple iPhone 15 (128 GB) - Black,4.5,"2,436",500+ bought in past month,64900.0,₹79600,(18% off),Yes
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",4.5,99,500+ bought in past month,77400.0,₹79900,(3% off),Yes
Apple iPhone 15 (128 GB) - Green,4.5,"2,436",500+ bought in past month,,,,No
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",4.5,99,500+ bought in past month,77400.0,₹79900,(3% off),Yes
Apple iPhone 15 Plus (128 GB) - Black,4.6,"1,092",400+ bought in past month,69900.0,₹89600,(22% off),Yes
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",4.5,99,1K+ bought in past month,77400.0,₹79900,(3% off),Yes
Apple iPhone 14 (128 GB) - Blue,4.5,"5,733",100+ bought in past month,55990.0,₹69600,(20% off),Yes
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",4.5,99,500+ bought in past month,77400.0,₹79900,(3% off),Yes
Apple iPhone 13 (128GB) - (Product) RED,4.5,"31,476",200+ bought in past month,45490.0,₹69900,(35% off),Yes
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,669",3K+ bought in past month,74990.0,₹149999,(50% off),No
"Samsung Galaxy M15 5G Prime Edition (Blue Topaz,4GB RAM,128GB Storage) | Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+ | 4 Gen. OS Upgrade & 5 Year Security Update",3.9,936,500+ bought in past month,10999.0,₹15999,(31% off),No
Apple iPhone 13 (256GB) - Starlight,4.5,"31,476",500+ bought in past month,54999.0,₹69900,(21% off),No
Apple iPhone 15 (128 GB) - Pink,4.5,"2,436",200+ bought in past month,64900.0,₹79600,(18% off),No
Apple iPhone 14 (128 GB) - Starlight,4.5,"5,733",100+ bought in past month,54900.0,₹69600,(21% off),No
Apple iPhone 13 (256GB) - Midnight,4.5,"31,476",500+ bought in past month,54999.0,₹69900,(21% off),No
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium",4.2,31,300+ bought in past month,144900.0,,,No
Apple iPhone 15 (256 GB) - Blue,4.5,"2,436",300+ bought in past month,75900.0,₹89600,(15% off),No
Apple iPhone 15 (256 GB) - Green,4.5,"2,436",300+ bought in past month,72900.0,₹89900,(19% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",4.5,99,200+ bought in past month,85900.0,₹89900,(4% off),No
Apple iPhone 14 Plus (128 GB) - Starlight,4.5,"2,072",50+ bought in past month,59900.0,₹79600,(25% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",4.5,99,200+ bought in past month,85900.0,₹89900,(4% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",4.5,99,100+ bought in past month,85900.0,₹89900,(4% off),No
Apple iPhone 15 (256 GB) - Black,4.5,"2,436",100+ bought in past month,77490.0,₹89600,(14% off),No
Apple iPhone 15 Plus (128 GB) - Green,4.6,"1,092",200+ bought in past month,69900.0,₹79900,(13% off),No
Apple iPhone 13 (256GB) - Pink,4.5,"31,476",400+ bought in past month,54999.0,₹69900,(21% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",4.5,99,200+ bought in past month,85900.0,₹89900,(4% off),No
Apple iPhone 15 Pro Max (256 GB) - Black Titanium,4.3,76,M.R.P:,128900.0,₹159900,(19% off),Yes
Apple iPhone 14 Plus (128 GB) - Midnight,4.5,"2,072",50+ bought in past month,59900.0,₹79600,(25% off),Yes
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium",5.0,9,100+ bought in past month,144900.0,₹144990,,Yes
Apple iPhone 15 (256 GB) - Pink,4.5,"2,436",200+ bought in past month,74900.0,₹89600,(16% off),Yes
Original Mobile Phone 6 Silver 64GB Compatible for i-Phone with Warranty,,,M.R.P:,13999.0,₹29999,(53% off),Yes
Apple iPhone 15 Pro Max (256 GB) - Natural Titanium,4.4,307,M.R.P:,128900.0,₹154000,(16% off),Yes
"iPhone 16 126 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultrmarine",4.1,67,100+ bought in past month,85900.0,₹89900,(4% off),Yes
Apple iPhone 15 (512 GB) - Yellow,4.5,"2,436",M.R.P:,87900.0,₹109900,(20% off),Yes
Apple iPhone 15 Pro Max (512 GB) - Natural Titanium,4.4,307,M.R.P:,140900.0,₹179900,(22% off),Yes
Apple iPhone 13 (256 GB) - Green,4.5,"31,476",400+ bought in past month,54999.0,₹69600,(21% off),Yes
"iPhone 16 126 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",4.1,67,100+ bought in past month,85900.0,₹89900,(4% off),Yes
Apple iPhone 13 (256GB) - (Product) RED,4.5,"31,476",50+ bought in past month,54999.0,₹69600,(21% off),Yes
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; White Titanium",3.5,4,50+ bought in past month,144900.0,,,No
Apple iPhone 15 Pro Max (256 GB) - Blue Titanium,4.4,307,M.R.P:,130900.0,₹159900,(18% off),No
Apple iPhone 14 (256 GB) - Midnight,4.5,"5,733",M.R.P:,66900.0,₹79600,(16% off),No
Apple iPhone 15 Pro Max (1 TB) - Natural Titanium,4.4,307,M.R.P:,154900.0,₹199900,(23% off),No
Apple iPhone 15 Plus (256 GB) - Black,4.6,"1,092",50+ bought in past month,87900.0,₹99600,(12% off),No
Apple iPhone 14 (512 GB) - Starlight,4.5,"5,733",M.R.P:,76900.0,₹99900,(23% off),No
Apple iPhone 14 (128 GB) - Yellow,4.5,"5,733",M.R.P:,54900.0,₹79900,(31% off),No
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,515",100+ bought in past month,22999.0,₹28999,(21% off),No
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",4.5,99,M.R.P:,105900.0,₹109900,(4% off),No
