Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,673",2K+ bought in past month,74990,₹149999,(50% off),No
"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | RealWorld Eco² OLED Plus Display | 5800mAh Battery",N/A,N/A,50+ bought in past month,59999,₹69999,(14% off),No
Apple iPhone 13 (512GB) - Midnight,4.5,"31,476",M.R.P:,73999,₹89900,(18% off),No
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",4.5,99,M.R.P:,105900,₹109900,(4% off),No
"iPhone 16 512 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",4.5,99,M.R.P:,105900,₹109900,(4% off),No
Apple iPhone 15 (512 GB) - Black,4.5,"2,436",M.R.P:,88900,₹109900,(19% off),No
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",4.1,67,50+ bought in past month,85900,₹89900,(4% off),No
Original Mobile Phone 6 Silver 64GB Storage Compatible for i-Phone with Warranty,N/A,N/A,M.R.P:,13999,₹29999,(53% off),No
"Redmi Note 13 Pro (Arctic White, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,516",100+ bought in past month,22999,₹28999,(21% off),No
Apple iPhone 14 (512 GB) - Midnight,4.5,"5,733",M.R.P:,76900,₹99900,(23% off),No
Apple iPhone 14 Plus (256 GB) - Starlight,4.5,"2,072",M.R.P:,74900,₹99900,(25% off),No
Apple iPhone 15 (256 GB) - Yellow,4.5,"2,436",M.R.P:,75900,₹89900,(16% off),No
Apple iPhone 14 Plus (256 GB) - Blue,4.5,"2,072",M.R.P:,72900,₹99900,(27% off),No
Apple iPhone 14 Pro (128 GB) - Space Black,4.6,886,N/A,129900,N/A,N/A,No
Apple iPhone 14 (512 GB) - Blue,4.5,"5,733",M.R.P:,76900,₹99900,(23% off),No
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultrmarine",4.1,67,50+ bought in past month,95900,₹99900,(4% off),No
Apple iPhone 15 Plus (256 GB) - Blue,4.6,"1,092",M.R.P:,86990,₹99600,(13% off),No
Apple iPhone 15 Pro Max (512 GB) - Blue Titanium,4.4,307,M.R.P:,145900,₹179900,(19% off),No
