Product Name,Rating (Stars),Number of Reviews,Bought Last Month,Current MRP,Dashed MRP,Discount (%),Free Delivery
"realme GT 7 Pro (Mars Orange,12GB+256GB) | India's First Snapdragon 8 Elite Processor | RealWorld Eco² OLED Plus Display | 5800mAh Battery",,,100+ bought in past month,59999.0,₹69999,(14% off),No
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Phantom Black, 12GB, 256GB Storage)",4.5,"2,656",2K+ bought in past month,74990.0,₹149999,(50% off),No
"Xiaomi 14 (Jade Green, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",4.2,608,400+ bought in past month,49999.0,₹79999,(38% off),No
"Xiaomi Handheld Garment Steamer, Foldable travel steam iron for clothes, Vertical and Horizontal, Powerful 1300 Watt fast heat up, Kills 99.9%* bacteria, White",4.0,289,2K+ bought in past month,2099.0,₹3999,(48% off),No
"Xiaomi Mi 360° Home Security Camera 2K (1296p)| 2024 New Launch| 3MP High Res| F/1.6 High Aperture for Superior Colors| CCTV Camera for Home| AI Human Detect (No False Alarm)| Talk Back Feature,White",4.0,"1,027",5K+ bought in past month,2399.0,₹4999,(52% off),No
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Classic Black|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,546",7K+ bought in past month,1999.0,₹3999,(50% off),No
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Gray",4.5,"2,505",1K+ bought in past month,24999.0,₹41999,(40% off),No
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 8GB RAM, 256GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,953",M.R.P:,23290.0,₹52999,(56% off),No
"MI Xiaomi Grooming Kit,(Trimmer Kit) All-In-One Professional Styling trimmer, Body Groomer, Nose & Ear Hair Trimming blade, Beard Comb,40 Length Settings,0.5mm Precision,Type-C & 90 min Run Time,Black",4.2,"62,155",3K+ bought in past month,1449.0,₹3299,(56% off),No
"MI Xiaomi Beard Trimmer 2C With High Precision Trimming | 2 Beard Comb | USB Type-C | Fast Charging | 0.5mm Precision | 40 Length Settings | 90 Min Run Time, Black",4.2,"90,663",7K+ bought in past month,949.0,₹1999,(53% off),No
"Lava Agni 3 5G (Prestine Glass, 8GB+128GB) | India's 1st Dual AMOLED | Dimensity 7300X | 50MP Triple AI Camera | 66W Fast Charge & 5000 mAh Battery | with Charger |Assured Android 15,16 & 17 Upgrades",4.3,282,300+ bought in past month,22999.0,₹25999,(12% off),No
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,149",300+ bought in past month,20499.0,₹27499,(25% off),No
"Xiaomi 14 (White, 12GB RAM, 512GB Storage) | 50MP Leica Professional Optics | 120 Hz 1.5K LTPO AMOLED | SD 8 Gen 3 Hyper OS",4.2,608,200+ bought in past month,49999.0,₹79999,(38% off),No
Xiaomi Smart Pen (2nd Generation),4.2,747,500+ bought in past month,5999.0,₹8999,(33% off),No
"Redmi Note 13 Pro (Scarlet Red, 8GB RAM, 128GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",4.1,50,400+ bought in past month,18489.0,₹28999,(36% off),No
"Xiaomi Smart Air Fryer for 4-5 People | 90% Less Fat l 1500W Fast Cooking | 7 Pre-set Menus | Grill, Bake, Fry, Roast, Reheat, Defrost | 40-200°C l Dual Speed Technology | Voice Control | 90+ Recipe",4.3,617,100+ bought in past month,5590.0,₹14999,(63% off),No
"Xiaomi 14 CIVI (Shadow Black, 8GB RAM, 256GB Storage)",3.6,45,M.R.P:,40999.0,₹54999,(25% off),No
"Redmi Note 13 Pro+ (Fusion Black, 12GB RAM, 512GB Storage)",3.9,926,100+ bought in past month,31999.0,₹37999,(16% off),No
"Redmi 13 5G, Orchid Pink, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,"2,382",2K+ bought in past month,12999.0,₹17999,(28% off),No
Xiaomi Robot Vacuum Cleaner X10|Auto Cleaning with 60 Days Hands Free Cleaning|Powerful Suction|Advanced Laser sensors|240 min Run Time|Vacuum & Mopping|Free 1 Yr + 1 Yr Extended Warranty|2024 Launch,3.9,111,200+ bought in past month,24999.0,₹59999,(58% off),No
"Redmi A4 5G (Starry Black, 4GB RAM, 64GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | Free 33W Charger in Box",,,2K+ bought in past month,8499.0,₹10999,(23% off),No
"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,908",1K+ bought in past month,15999.0,₹20999,(24% off),No
"Xiaomi 11 Lite (Vinyl Black, 8GB RAM, 128GB Storage)",3.5,54,M.R.P:,12740.0,₹25999,(51% off),No
"Xiaomi Pad 6| Qualcomm Snapdragon 870| Powered by HyperOS |144Hz Refresh Rate| 8GB, 256GB| 2.8K+ Display (11-inch/27.81cm) Tablet| Dolby Vision Atmos| Quad Speakers| Wi-Fi| Mist Blue",4.4,"1,580",400+ bought in past month,25999.0,₹41999,(38% off),No
"Xiaomi Smart Air Purifier 4, Negative Air Ionizer, True HEPA, trap 99.99% Virus, Large coverage up to 516 Sq Ft, Fast Purification in 7 Mins, RoHS & Allergy Care Certified, Wi-Fi App Control, Alexa&GA",4.3,"4,198",3K+ bought in past month,14999.0,₹19999,(25% off),No
"Redmi Note 13 Pro+ (Fusion Purple, 8GB RAM, 256GB Storage) | World's First Mediatek 7200 Ultra 5G | 200MP Hi-Res Camera | 1.5K Curved AMOLED | 120W HyperCharge",3.9,926,500+ bought in past month,27999.0,₹33999,(18% off),No
"Redmi Note 13 Pro (Midnight Black, 8GB RAM, 256GB Storage) | 1.5K AMOLED | 200MP Hi-Res Camera | Flagship 4nm SD 7s Gen 2 | 67W TurboCharge",3.9,"1,507",50+ bought in past month,24999.0,₹30999,(19% off),No
"Xiaomi 14 CIVI (Shadow Black, 12GB RAM, 512GB Storage)",3.6,45,M.R.P:,45999.0,₹59999,(23% off),No
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Blue|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,546",4K+ bought in past month,1999.0,₹3999,(50% off),No
"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",4.1,"5,149",1K+ bought in past month,15999.0,₹24499,(35% off),No
"Xiaomi 12 Pro | 5G (Couture Blue, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon",3.9,"4,002",M.R.P:,39990.0,₹79999,(50% off),No
Xiaomi Smart TV A 80 cm (32) HD Ready Smart Google LED TV L32MA-AIN (Black),4.1,"14,051",4K+ bought in past month,13999.0,₹24999,(44% off),No
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches",4.2,143,300+ bought in past month,1599.0,₹2999,(47% off),No
Redmi Note 13 pro 5g Scarlet red 8gb 256gb,4.1,57,500+ bought in past month,20299.0,₹30999,(35% off),No
"Mi Xiaomi 33W Fast Charging Cable USB C Quick Charge 4.0 Soniccharge Cord Compatible withMi, Redmi, iPhone 15 Pro Samsung Galaxy Android Phone Laptop PD Charger Cable (White)",4.3,999,3K+ bought in past month,219.0,₹699,(69% off),No
"Redmi 13 5G, Hawaiian Blue, 6GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment",3.9,"2,382",2K+ bought in past month,12999.0,₹17999,(28% off),No
"Xiaomi 4 Lite Smart Air Purifier for Home, AQI Display, HEPA & Carbon Filter, trap 99.99% Virus Dust & Odor, Large coverage area up to 462 Sq ft, App Control, RoHS & Allergy Care Certified, Alexa & GA",4.1,618,3K+ bought in past month,10999.0,₹14999,(27% off),No
"Redmi Note 13 5G (Arctic White, 12GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,908",400+ bought in past month,18999.0,₹24999,(24% off),No
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | Free 33W Charger in Box",,,5K+ bought in past month,9499.0,₹11999,(21% off),No
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",3.9,961,5K+ bought in past month,6499.0,₹9999,(35% off),No
"Redmi Note 13 5G (Stealth Black, 8GB RAM, 256GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera",3.7,"5,908",200+ bought in past month,17999.0,₹22999,(22% off),No
"Xiaomi Mi A3 (More Than White, 4GB RAM, 64GB Storage)",4.1,"15,053",M.R.P:,9999.0,₹17499,(43% off),No
"Xiaomi 14 CIVI (Cruise Blue, 8GB RAM, 256GB Storage)",3.6,45,M.R.P:,40999.0,₹54999,(25% off),No
"Samsung Galaxy M15 5G Prime Edition (Stone Grey,6GB RAM,128GB Storage)| Super AMOLED Display| 50MP Triple Cam| 6000mAh Battery| MediaTek Dimensity 6100+| 4 Gen. OS Upgrade & 5 Year Security Update",3.9,925,4K+ bought in past month,11999.0,₹16999,(29% off),No
"Redmi LCD Writing Pad with Stylus, 21.6cm(8.5inch), Smart Lock to Save Content, ABS Material, Anti-Blue Light Screen, Eco Friendly, Handwriting Gifts for Kids & Adults, Drawing Tablet, Playing Black",4.1,"1,172",400+ bought in past month,426.0,₹1999,(79% off),No
"Xiaomi 11T Pro 5G Hyperphone (Celestial Magic, 8GB RAM, 128GB Storage) |SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.0,"2,563",M.R.P:,21499.0,₹49999,(57% off),No
"Redmi Note 13 Pro+ (Fusion White, 8GB RAM, 256GB Storage) Without Offer",3.9,926,50+ bought in past month,23435.0,₹33999,(31% off),No
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | Free 33W Charger in Box",,,5K+ bought in past month,9499.0,₹11999,(21% off),No
"Redmi Note 13 5G (Chromatic Purple, 8GB RAM, 256GB Storage)",3.7,"5,908",1K+ bought in past month,16780.0,₹22999,(27% off),No
Xiaomi Pad 6 Keyboard,4.3,134,200+ bought in past month,3499.0,₹7999,(56% off),No
"Xiaomi 11T Pro 5G Hyperphone (Meteorite Black, 8GB RAM, 128GB Storage)|SD 888|120W HyperCharge|Segment's only Phone with Dolby Vision+Dolby Atmos",4.1,"3,953",M.R.P:,24280.0,₹49999,(51% off),No
"Xiaomi Power Bank 4i 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Coral Purple|Supports Android and Apple, Tablets, Earbuds, Watches etc",4.2,"69,620",1K+ bought in past month,1199.0,₹2499,(52% off),No
"Xiaomi Power Bank 4i 20000mAh 33W Super Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Olive Green|Supports Android,Apple, Tablets, Earbuds, Watches etc (MI)",4.3,"95,546",2K+ bought in past month,1999.0,₹3999,(50% off),No
